delta,u,source,main_fiber,A,B,C,D,defect_B,defect_C,defect_D,score,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,point_in_unit,four_distance_ok,true_solution,height,distance_to_u730,notes
867/451,-3/5,B_sample,all,-15/8,-780/451,16613/6765,16613/6240,1,1113346,1089721,1213236516466,-3608/13005,451/867,13005,-3608,6765,16613,6240,-2,-1,True,False,False,False,16613,6/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
867/416,26/15,B_sample,all,-780/451,-15/8,16613/6240,16613/6765,1,1089721,1113346,1213236516466,-3608/13005,416/867,13005,-3608,6240,16613,6765,-2,-1,True,False,False,False,16613,17/15,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
867/416,-15/26,B_sample,all,-780/451,-15/8,16613/6240,16613/6765,1,1089721,1113346,1213236516466,-3608/13005,416/867,13005,-3608,6240,16613,6765,-2,-1,True,False,False,False,16613,153/130,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/119,1/4,known,all,8/15,208/357,207/952,207/1040,170713,949153,1124449,182197570551519961,595/664,119/249,1992,1785,952,207,1040,0,-1,True,True,False,False,1040,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
9375/7072,4/3,B_sample,all,-24/7,-987/884,34313/21216,34313/6909,1,2604001,1960186,5104326304186,-6188/28125,7072/9375,28125,-6188,21216,34313,6909,-2,-1,True,False,False,False,34313,11/15,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
9375/7072,-3/4,B_sample,all,-24/7,-987/884,34313/21216,34313/6909,1,2604001,1960186,5104326304186,-6188/28125,7072/9375,28125,-6188,21216,34313,6909,-2,-1,True,False,False,False,34313,27/20,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
332/255,-9/17,B_sample,all,-153/104,-231/520,1516/765,1516/231,1,2883481,2351617,6780842938777,-130/249,255/332,996,-520,765,1516,231,-1,0,True,False,False,False,1516,96/85,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
332/255,17/9,B_sample,all,-153/104,-231/520,1516/765,1516/231,1,2883481,2351617,6780842938777,-130/249,255/332,996,-520,765,1516,231,-1,0,True,False,False,False,1516,58/45,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/130,-4/13,B_sample,all,-104/153,-28/45,1761/520,1761/476,1,3371521,3327697,11219400317137,-255/332,130/249,996,-765,520,1761,476,1,-1,True,False,False,False,1761,59/65,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/130,13/4,B_sample,all,-104/153,-28/45,1761/520,1761/476,1,3371521,3327697,11219400317137,-255/332,130/249,996,-765,520,1761,476,1,-1,True,False,False,False,1761,53/20,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/119,-2/7,B_sample,all,-28/45,-104/153,1761/476,1761/520,1,3327697,3371521,11219400317137,-255/332,119/249,996,-765,476,1761,520,1,-1,True,False,False,False,1761,31/35,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/119,7/2,B_sample,all,-28/45,-104/153,1761/476,1761/520,1,3327697,3371521,11219400317137,-255/332,119/249,996,-765,476,1761,520,1,-1,True,False,False,False,1761,29/10,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/2632,1/4,known,all,8/15,493/4935,-905/1316,-1810/493,145546,2550881,3519149,1306556300393871874,987/625,2632/3125,3125,4935,2632,-1810,493,1,1,False,False,False,False,4935,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
249/119,9/17,B_sample,all,153/104,45/28,89/63,1513/1170,1,11890,3658069,43494440410,728/2241,119/249,2241,728,1071,1513,1170,-3,-1,True,True,False,False,1513,6/85,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/119,-17/9,B_sample,all,153/104,45/28,89/63,1513/1170,1,11890,3658069,43494440410,728/2241,119/249,2241,728,1071,1513,1170,-3,-1,True,True,False,False,1513,112/45,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/493,-6/17,B_sample,all,-204/253,-31584/7337,44837/5916,44837/31584,1,3272569,4812649,15749725925281,-7337/37500,493/3125,37500,-7337,5916,44837,31584,-1,1,True,False,False,False,44837,81/85,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/493,17/6,B_sample,all,-204/253,-31584/7337,44837/5916,44837/31584,1,3272569,4812649,15749725925281,-7337/37500,493/3125,37500,-7337,5916,44837,31584,-1,1,True,False,False,False,44837,67/30,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
