A,D,B,C,reciprocal_fake,degenerate_infinity,nondegenerate,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,notes
-616/663,-663/616,616/663,663/616,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-207/224,-224/207,207/224,224/207,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-252/275,-275/252,252/275,275/252,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-744/817,-817/744,744/817,817/744,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-65/72,-72/65,65/72,72/65,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-884/987,-987/884,884/987,987/884,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-336/377,-377/336,336/377,377/336,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-319/360,-360/319,319/360,360/319,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-765/868,-868/765,765/868,868/765,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-48/55,-55/48,48/55,55/48,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-455/528,-528/455,455/528,528/455,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-540/629,-629/540,540/629,629/540,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-133/156,-156/133,133/156,156/133,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-660/779,-779/660,660/779,779/660,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-615/728,-728/615,615/728,728/615,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-88/105,-105/88,88/105,105/88,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-799/960,-960/799,799/960,960/799,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-225/272,-272/225,225/272,272/225,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-140/171,-171/140,140/171,171/140,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-341/420,-420/341,341/420,420/341,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-204/253,-253/204,204/253,253/204,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-481/600,-600/481,481/600,600/481,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-280/351,-351/280,280/351,351/280,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-645/812,-812/645,645/812,812/645,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-368/465,-465/368,368/465,465/368,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-468/595,-595/468,468/595,595/468,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-580/741,-741/580,580/741,741/580,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-704/903,-903/704,704/903,903/704,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-3/4,-4/3,3/4,4/3,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-620/861,-861/620,620/861,861/620,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-504/703,-703/504,504/703,703/504,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-400/561,-561/400,400/561,561/400,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-705/992,-992/705,705/992,992/705,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-308/435,-435/308,308/435,435/308,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-533/756,-756/533,533/756,756/533,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-228/325,-325/228,228/325,325/228,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-385/552,-552/385,385/552,552/385,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-160/231,-231/160,160/231,231/160,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-261/380,-380/261,261/380,380/261,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-104/153,-153/104,104/153,153/104,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-161/240,-240/161,161/240,240/161,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-660/989,-989/660,660/989,989/660,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-559/840,-840/559,559/840,840/559,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-60/91,-91/60,60/91,91/60,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-407/624,-624/407,407/624,624/407,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-432/665,-665/432,432/665,665/432,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-85/132,-132/85,85/132,132/85,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-336/527,-527/336,336/527,527/336,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-279/440,-440/279,279/440,440/279,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-585/928,-928/585,585/928,928/585,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-28/45,-45/28,28/45,45/28,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-429/700,-700/429,429/700,700/429,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-576/943,-943/576,576/943,943/576,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-175/288,-288/175,175/288,288/175,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-180/299,-299/180,180/299,299/180,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-464/777,-777/464,464/777,777/464,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-33/56,-56/33,33/56,56/33,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-364/627,-627/364,364/627,627/364,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-451/780,-780/451,451/780,780/451,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-120/209,-209/120,120/209,209/120,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-95/168,-168/95,95/168,168/95,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-276/493,-493/276,276/493,493/276,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-189/340,-340/189,189/340,340/189,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-496/897,-897/496,496/897,897/496,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-315/572,-572/315,315/572,572/315,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-473/864,-864/473,473/864,864/473,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-8/15,-15/8,8/15,15/8,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-495/952,-952/495,495/952,952/495,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-333/644,-644/333,333/644,644/333,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-203/396,-396/203,203/396,396/203,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-300/589,-589/300,300/589,589/300,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-105/208,-208/105,105/208,208/105,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-136/273,-273/136,136/273,273/136,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-420/851,-851/420,420/851,851/420,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-39/80,-80/39,39/80,80/39,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-220/459,-459/220,220/459,459/220,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-217/456,-456/217,217/456,456/217,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-36/77,-77/36,36/77,77/36,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-369/800,-800/369,369/800,800/369,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-448/975,-975/448,448/975,975/448,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-115/252,-252/115,115/252,252/115,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
