category,A,D,B,C,defect_B,defect_C,score,B_in_S,C_in_S,one_sided,both_small,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,height,distance_to_D0,distance_to_A0,notes
one_sided,572/315,425/168,8/15,425/572,1,507809,507809,True,False,True,False,63/148,143/185,740,315,572,425,168,2,0,False,True,False,True,572,12931/4872,149/2520,algebraic_but_failed:(1-x)^2+y^2
one_sided,425/168,572/315,15/8,572/425,1,507809,507809,True,False,True,False,42/185,85/148,740,168,425,572,315,1,0,False,True,False,True,572,30767/9135,55/84,algebraic_but_failed:(1-x)^2+y^2
one_sided,-551/240,-77/36,21/20,539/551,1,594122,594122,True,False,True,False,-240/299,551/299,299,-240,551,539,-252,1,0,False,True,False,False,551,7645/1044,1001/240,algebraic_but_failed:(1-x)^2+y^2
one_sided,-77/36,-551/240,20/21,551/539,1,594122,594122,True,False,True,False,-252/299,539/299,299,-252,539,551,-240,2,0,False,True,False,False,551,17353/2320,289/72,algebraic_but_failed:(1-x)^2+y^2
one_sided,-319/360,112/15,-7/24,784/319,1,716417,716417,True,False,True,False,-45/53,319/424,424,-360,319,784,105,2,0,False,True,False,False,784,331/145,497/180,algebraic_but_failed:(1-x)^2+y^2
one_sided,112/15,-319/360,-24/7,319/784,1,716417,716417,True,False,True,False,105/424,98/53,424,105,784,319,-360,1,0,False,True,False,False,784,63371/10440,671/120,algebraic_but_failed:(1-x)^2+y^2
one_sided,3/4,799/960,240/161,799/483,1,871690,871690,True,False,True,False,644/1443,161/481,1443,644,483,799,960,-1,1,True,True,False,True,960,40383/9280,9/8,algebraic_but_failed:(1-x)^2+y^2
one_sided,799/960,3/4,161/240,483/799,1,871690,871690,True,False,True,False,320/481,799/1443,1443,960,799,483,644,0,-1,True,True,False,True,960,1543/348,1001/960,algebraic_but_failed:(1-x)^2+y^2
one_sided,129/920,175/288,252/115,1225/129,1,1517266,1517266,True,False,True,False,184/429,43/715,2145,920,129,1225,2016,-1,0,True,True,False,True,1225,38221/8352,399/230,algebraic_but_failed:(1-x)^2+y^2
one_sided,175/288,129/920,115/252,129/1225,1,1517266,1517266,True,False,True,False,672/715,245/429,2145,2016,1225,129,920,1,-1,True,True,False,True,1225,403697/80040,365/288,algebraic_but_failed:(1-x)^2+y^2
one_sided,-551/240,165/52,-91/60,1155/551,1,1637626,1637626,True,False,True,False,-16/61,551/915,915,-240,551,1155,364,0,-1,True,True,False,False,1155,9097/4524,1001/240,algebraic_but_failed:(1-x)^2+y^2
one_sided,165/52,-551/240,-60/91,551/1155,1,1637626,1637626,True,False,True,False,364/915,77/61,915,364,1155,551,-240,-1,1,True,True,False,False,1155,17353/2320,135/104,algebraic_but_failed:(1-x)^2+y^2
one_sided,-403/396,176/57,-893/924,8272/2821,1,3055361,3055361,True,False,True,False,-63/125,2821/5500,5500,-2772,2821,8272,2679,2,0,False,True,False,False,8272,1155/551,2291/792,algebraic_but_failed:(1-x)^2+y^2
one_sided,176/57,-403/396,-924/893,2821/8272,1,3055361,3055361,True,False,True,False,2679/5500,188/125,5500,2679,8272,2821,-2772,1,0,False,True,False,False,8272,71219/11484,553/456,algebraic_but_failed:(1-x)^2+y^2
one_sided,-4/3,319/360,840/41,-2233/164,1,5013185,5013185,True,False,True,False,123/2356,-41/589,2356,123,-164,2233,2520,1,0,False,True,False,False,2233,44869/10440,77/24,algebraic_but_failed:(1-x)^2+y^2
one_sided,319/360,-4/3,41/840,-164/2233,1,5013185,5013185,True,False,True,False,630/589,2233/2356,2356,2520,2233,-164,123,2,0,False,True,False,False,2233,189/29,89/90,algebraic_but_failed:(1-x)^2+y^2
