row_id,N,p,q,r,s,h_pq,h_rq,h_ps,h_rs_square,h_rs_or_sqrt_factor,fourth_norm,defect,primitive,canonical_key,duplicate_of,x,y,yc,v3_x,v3_yc,mcc_live,A,B,C,D,delta,A_in_S,B_in_S,C_in_S,D_in_S,love_relation_ok,notes
83,21853,5040,11220,16813,10633,12300,20213,11767,False,41*sqrt(235418),41*sqrt(235418)/21853,235418,True,21853:5040:10633,55,5040/21853,11220/21853,587/43706,2,0,False,187/84,1519/720,989/660,16813/10633,21853/11220,True,True,True,False,True,THREE_DISTANCE_SEED
84,11997,4704,11900,7293,97,12796,13957,4705,False,1*sqrt(53197258),1*sqrt(53197258)/11997,53197258,True,11997:97:4704,49,1568/3999,11900/11997,11803/23994,-1,-2,True,425/168,97/4704,429/700,7293/97,11997/11900,True,True,True,False,True,THREE_DISTANCE_SEED
85,20415,18400,11928,2015,8487,21928,12097,20263,False,1*sqrt(76089394),1*sqrt(76089394)/20415,76089394,True,20415:2015:8487,,3680/4083,3976/6805,1147/13610,-1,0,True,1491/2300,369/800,2015/11928,2015/8487,6805/3976,True,True,True,False,True,THREE_DISTANCE_SEED
86,60401,23400,12480,37001,47921,26520,39049,53329,False,17*sqrt(12683378),17*sqrt(12683378)/60401,12683378,True,60401:12480:23400,,23400/60401,12480/60401,-35441/120802,2,0,False,8/15,47921/23400,37001/12480,37001/47921,60401/12480,True,True,True,False,True,THREE_DISTANCE_SEED
87,21125,7524,12768,13601,8357,14820,18655,11245,False,65*sqrt(60314),65*sqrt(60314)/21125,60314,True,21125:7524:8357,66,7524/21125,12768/21125,4411/42250,2,0,False,56/33,8357/7524,1943/1824,13601/8357,21125/12768,True,True,True,False,True,THREE_DISTANCE_SEED
88,22472,14805,13260,7667,9212,19875,15317,17437,False,53*sqrt(51137),53*sqrt(51137)/22472,51137,True,22472:7667:9212,,14805/22472,3315/5618,253/2809,2,0,False,884/987,28/45,451/780,7667/9212,5618/3315,True,True,True,False,True,THREE_DISTANCE_SEED
89,22472,13260,14805,9212,7667,19875,17437,15317,False,53*sqrt(51137),53*sqrt(51137)/22472,51137,True,22472:7667:9212,88,3315/5618,14805/22472,3569/22472,1,0,False,987/884,451/780,28/45,9212/7667,22472/14805,True,True,True,False,True,THREE_DISTANCE_SEED
90,57555,47600,14868,9955,42687,49868,17893,63937,False,1*sqrt(1921281994),1*sqrt(1921281994)/57555,1921281994,True,57555:9955:14868,,9520/11511,1652/6395,-3091/12790,-2,0,True,531/1700,2511/2800,9955/14868,9955/42687,6395/1652,True,True,True,False,True,THREE_DISTANCE_SEED
91,77500,53064,15477,24436,62023,55275,28925,81625,False,25*sqrt(7110353),25*sqrt(7110353)/77500,7110353,True,77500:15477:24436,,13266/19375,15477/77500,-23273/77500,2,0,False,7/24,62023/53064,24436/15477,24436/62023,77500/15477,True,True,True,False,True,THREE_DISTANCE_SEED
92,30303,26784,15640,3519,14663,31016,16031,30535,False,1*sqrt(227386930),1*sqrt(227386930)/30303,227386930,True,30303:3519:14663,,2976/3367,15640/30303,977/60606,1,-2,True,1955/3348,473/864,9/40,3519/14663,30303/15640,True,True,True,False,True,THREE_DISTANCE_SEED
