category,A,D,B,C,defect_B,defect_C,score,B_in_S,C_in_S,one_sided,both_small,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,height,distance_to_D0,distance_to_A0,notes
mcc_live_score,400/561,960/799,-47/33,-12/5,3298,1,3298,False,True,True,False,-187/133,-400/399,399,-561,-400,960,799,0,-1,True,True,False,False,960,276829/69513,5215/4488,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,561/400,799/960,-12/5,-47/33,1,3298,3298,True,False,True,False,-400/399,-187/133,399,-400,-561,799,960,-1,1,True,True,False,False,960,40383/9280,189/400,algebraic_but_failed:(1-x)^2+y^2
mcc_live_score,960/799,400/561,-33/47,-5/12,3298,1,3298,False,True,True,False,799/399,320/133,399,799,960,-400,-561,-1,1,True,True,False,False,960,72737/16269,4305/6392,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,259/660,0,401/660,0,3529,1,3529,False,True,True,False,1,259/660,660,660,259,0,401,0,-1,True,True,False,False,660,451/87,1957/1320,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,15/8,475/132,33/98,95/147,37,106,3922,False,False,False,True,392/867,245/289,867,392,735,475,132,-1,1,True,True,False,True,475,2023/1276,0,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,475/132,15/8,98/33,147/95,37,106,3922,False,False,False,True,44/289,475/867,867,132,475,735,392,0,-1,True,True,False,True,475,2303/696,455/264,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,132/475,8/15,147/95,98/33,106,37,3922,False,False,False,True,475/867,44/289,867,475,132,392,735,-1,1,True,True,False,True,475,2023/435,6069/3800,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,8/15,132/475,95/147,33/98,106,37,3922,False,False,False,True,245/289,392/867,867,735,392,132,475,0,-1,True,True,False,True,475,202741/41325,161/120,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-56/783,60/899,31/27,-15/14,10,421,4210,False,False,False,True,261/281,-56/843,843,783,-56,60,899,2,-1,True,True,False,False,899,13801/2697,12193/6264,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,60/899,-56/783,27/31,-14/15,10,421,4210,False,False,False,True,899/843,20/281,843,899,60,-56,783,-1,0,True,True,False,False,899,4115/783,13005/7192,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-783/56,899/60,-15/14,31/27,421,10,4210,False,False,False,True,-56/843,261/281,843,-56,783,899,60,-1,0,True,True,False,False,899,17051/1740,111/7,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,899/60,-783/56,-14/15,27/31,421,10,4210,False,False,False,True,20/281,899/843,843,60,899,783,-56,0,-1,True,True,False,False,899,93377/4872,1573/120,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-24/7,40/9,-9/7,5/3,130,34,4420,False,False,False,True,-7/33,8/11,33,-7,24,40,9,-1,0,True,True,False,False,40,193/261,297/56,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-7/24,9/40,5/3,-9/7,34,130,4420,False,False,False,True,8/11,-7/33,33,24,-7,9,40,0,-1,True,True,False,False,40,17257/3480,13/6,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,9/40,-7/24,3/5,-7/9,34,130,4420,False,False,False,True,40/33,3/11,33,40,9,-7,24,-1,0,True,True,False,False,40,3811/696,33/20,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
